customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
CUST0001,Male,1,Yes,No,6,No,No phone service,No,Yes,No,No,No,No internet service,No internet service,Two year,Yes,Mailed check,82.65,492.28,No
CUST0002,Female,0,No,No,34,Yes,No,DSL,No,No internet service,Yes,No internet service,Yes,No internet service,Two year,No,Electronic check,107.77,3691.66,No
CUST0003,Male,0,No,No,54,No,No phone service,Fiber optic,No internet service,No internet service,No,No,Yes,Yes,Two year,Yes,Electronic check,108.55,5845.43,No
CUST0004,Male,0,No,No,13,Yes,No,No,Yes,No internet service,No,Yes,No internet service,No,One year,Yes,Electronic check,115.68,1517.15,No
CUST0005,Male,0,No,Yes,9,Yes,Yes,Fiber optic,No,Yes,Yes,No internet service,No,Yes,One year,Yes,Electronic check,106.51,913.61,No
CUST0006,Female,0,Yes,Yes,15,Yes,Yes,Fiber optic,No,Yes,Yes,No internet service,No internet service,No,Two year,Yes,Credit card (automatic),18.22,284.17,Yes
CUST0007,Male,1,No,No,53,No,No,Fiber optic,Yes,No internet service,No,No,Yes,No,One year,No,Electronic check,56.78,2974.61,No
CUST0008,Male,0,Yes,Yes,69,No,Yes,DSL,No internet service,Yes,No internet service,No internet service,No,No,One year,Yes,Mailed check,101.49,7035.87,No
CUST0009,Male,1,Yes,No,43,Yes,Yes,Fiber optic,Yes,No internet service,Yes,No,No,No internet service,Two year,No,Credit card (automatic),55.36,2366.02,No
CUST0010,Female,1,Yes,Yes,72,Yes,No,No,No,Yes,No,No,Yes,Yes,Two year,No,Mailed check,79.36,5692.08,No
CUST0011,Male,0,Yes,No,44,Yes,No,DSL,No internet service,No internet service,No,No internet service,No internet service,Yes,One year,No,Mailed check,79.84,3547.05,No
CUST0012,Male,0,Yes,No,55,No,Yes,No,No,No,No internet service,No,No internet service,No,Two year,No,Bank transfer (automatic),55.23,2992.66,No
CUST0013,Male,1,No,Yes,56,Yes,No phone service,No,Yes,No internet service,Yes,No,No internet service,Yes,Two year,Yes,Electronic check,110.26,6164.22,Yes
CUST0014,Male,0,No,Yes,20,Yes,No phone service,DSL,No internet service,No internet service,No,No,Yes,No internet service,Two year,No,Electronic check,69.33,1373.6,No
CUST0015,Female,0,No,No,67,Yes,No,No,No,Yes,No internet service,No,No,Yes,Two year,Yes,Mailed check,65.41,4360.95,No
CUST0016,Male,1,No,No,49,Yes,No,No,No,Yes,No,No internet service,Yes,No,One year,No,Electronic check,119.75,5908.93,No
CUST0017,Female,1,Yes,Yes,32,No,No phone service,DSL,No,Yes,Yes,Yes,No internet service,No internet service,Two year,No,Credit card (automatic),68.34,2211.97,No
CUST0018,Female,0,No,Yes,6,No,Yes,No,Yes,Yes,No internet service,Yes,Yes,No internet service,Month-to-month,Yes,Bank transfer (automatic),36.2,173.59,No
CUST0019,Female,1,Yes,No,69,Yes,No phone service,Fiber optic,No internet service,Yes,No,No,No,No,Two year,No,Electronic check,70.33,4874.24,No
